Platform,instance,processor_manufacturer,processor,number_of_cores,memory_size(RAM),frequency,load_percentile,power,p100,p0,limitations
Azure,M208s v2,Intel,8180,208,2850,2.5,100,2048,2048,326,"core 224, mem"
,M208s v2,Intel,8180,208,2850,2.5,90,1858,2048,326,
,M208s v2,Intel,8180,208,2850,2.5,80,1568,2048,326,
,M208s v2,Intel,8180,208,2850,2.5,70,1337,2048,326,
,M208s v2,Intel,8180,208,2850,2.5,60,1168,2048,326,
,M208s v2,Intel,8180,208,2850,2.5,50,1017,2048,326,
,M208s v2,Intel,8180,208,2850,2.5,40,904,2048,326,
,M208s v2,Intel,8180,208,2850,2.5,30,797,2048,326,
,M208s v2,Intel,8180,208,2850,2.5,20,701,2048,326,
,M208s v2,Intel,8180,208,2850,2.5,10,603,2048,326,
,M208s v2,Intel,8180,208,2850,2.5,0,326,2048,326,
,M416s v2,Intel,8180,416,5700,2.5,100,3971,3971,695,"core 448, mem 1536"
,M416s v2,Intel,8180,416,5700,2.5,90,3594,3971,695,
,M416s v2,Intel,8180,416,5700,2.5,80,3038,3971,695,
,M416s v2,Intel,8180,416,5700,2.5,70,2625,3971,695,
,M416s v2,Intel,8180,416,5700,2.5,60,2295,3971,695,
,M416s v2,Intel,8180,416,5700,2.5,50,2007,3971,695,
,M416s v2,Intel,8180,416,5700,2.5,40,1784,3971,695,
,M416s v2,Intel,8180,416,5700,2.5,30,1590,3971,695,
,M416s v2,Intel,8180,416,5700,2.5,20,1402,3971,695,
,M416s v2,Intel,8180,416,5700,2.5,10,1211,3971,695,
,M416s v2,Intel,8180,416,5700,2.5,0,695,3971,695,
,M32ms v2,Intel,8280,28,48,2.7,100,235,235,37.3,"core 32, mem 875"
,M32ms v2,Intel,8280,28,48,2.7,90,214,235,37.3,
,M32ms v2,Intel,8280,28,48,2.7,80,186,235,37.3,
,M32ms v2,Intel,8280,28,48,2.7,70,160,235,37.3,
,M32ms v2,Intel,8280,28,48,2.7,60,140,235,37.3,
,M32ms v2,Intel,8280,28,48,2.7,50,122,235,37.3,
,M32ms v2,Intel,8280,28,48,2.7,40,107,235,37.3,
,M32ms v2,Intel,8280,28,48,2.7,30,90.5,235,37.3,
,M32ms v2,Intel,8280,28,48,2.7,20,76.9,235,37.3,
,M32ms v2,Intel,8280,28,48,2.7,10,64.3,235,37.3,
,M32ms v2,Intel,8280,28,48,2.7,0,37.3,235,37.3,
,M32ms v2,Intel,8280,28,96,2.7,100,177,177,50,"core 32, mem 1024"
,M32ms v2,Intel,8280,28,96,2.7,90,164,177,50,
,M32ms v2,Intel,8280,28,96,2.7,80,150,177,50,
,M32ms v2,Intel,8280,28,96,2.7,70,136,177,50,
,M32ms v2,Intel,8280,28,96,2.7,60,124,177,50,
,M32ms v2,Intel,8280,28,96,2.7,50,112,177,50,
,M32ms v2,Intel,8280,28,96,2.7,40,101,177,50,
,M32ms v2,Intel,8280,28,96,2.7,30,91.1,177,50,
,M32ms v2,Intel,8280,28,96,2.7,20,81,177,50,
,M32ms v2,Intel,8280,28,96,2.7,10,71.1,177,50,
,M32ms v2,Intel,8280,28,96,2.7,0,50,177,50,
,M64s v2,Intel,8280,64,1024,2.7,100,432,432,49.8,"core 56, mem 192"
,M64s v2,Intel,8280,64,1024,2.7,90,376,432,49.8,
,M64s v2,Intel,8280,64,1024,2.7,80,319,432,49.8,
,M64s v2,Intel,8280,64,1024,2.7,70,277,432,49.8,
,M64s v2,Intel,8280,64,1024,2.7,60,240,432,49.8,
,M64s v2,Intel,8280,64,1024,2.7,50,208,432,49.8,
,M64s v2,Intel,8280,64,1024,2.7,40,182,432,49.8,
,M64s v2,Intel,8280,64,1024,2.7,30,159,432,49.8,
,M64s v2,Intel,8280,64,1024,2.7,20,137,432,49.8,
,M64s v2,Intel,8280,64,1024,2.7,10,114,432,49.8,
,M64s v2,Intel,8280,64,1024,2.7,0,49.8,432,49.8,
,M64ms v2,Intel,8280,64,1792,2.7,100,432,432,49.8,"core 56, mem 192"
,M64ms v2,Intel,8280,64,1792,2.7,90,376,432,49.8,
,M64ms v2,Intel,8280,64,1792,2.7,80,319,432,49.8,
,M64ms v2,Intel,8280,64,1792,2.7,70,277,432,49.8,
,M64ms v2,Intel,8280,64,1792,2.7,60,240,432,49.8,
,M64ms v2,Intel,8280,64,1792,2.7,50,208,432,49.8,
,M64ms v2,Intel,8280,64,1792,2.7,40,182,432,49.8,
,M64ms v2,Intel,8280,64,1792,2.7,30,159,432,49.8,
,M64ms v2,Intel,8280,64,1792,2.7,20,137,432,49.8,
,M64ms v2,Intel,8280,64,1792,2.7,10,114,432,49.8,
,M64ms v2,Intel,8280,64,1792,2.7,0,49.8,432,49.8,
,M128s v2,Intel,8280,128,2048,2.7,100,849,849,103,"core 112, mem 192"
,M128s v2,Intel,8280,128,2048,2.7,90,740,849,103,
,M128s v2,Intel,8280,128,2048,2.7,80,632,849,103,
,M128s v2,Intel,8280,128,2048,2.7,70,548,849,103,
,M128s v2,Intel,8280,128,2048,2.7,60,474,849,103,
,M128s v2,Intel,8280,128,2048,2.7,50,409,849,103,
,M128s v2,Intel,8280,128,2048,2.7,40,358,849,103,
,M128s v2,Intel,8280,128,2048,2.7,30,315,849,103,
,M128s v2,Intel,8280,128,2048,2.7,20,272,849,103,
,M128s v2,Intel,8280,128,2048,2.7,10,227,849,103,
,M128s v2,Intel,8280,128,2048,2.7,0,103,849,103,
,M192is v2,Intel,8280,192,2048,2.7,100,1418,1418,328,"core 168, mem 576"
,M192is v2,Intel,8280,192,2048,2.7,90,1258,1418,328,
,M192is v2,Intel,8280,192,2048,2.7,80,1086,1418,328,
,M192is v2,Intel,8280,192,2048,2.7,70,960,1418,328,
,M192is v2,Intel,8280,192,2048,2.7,60,849,1418,328,
,M192is v2,Intel,8280,192,2048,2.7,50,753,1418,328,
,M192is v2,Intel,8280,192,2048,2.7,40,681,1418,328,
,M192is v2,Intel,8280,192,2048,2.7,30,620,1418,328,
,M192is v2,Intel,8280,192,2048,2.7,20,558,1418,328,
,M192is v2,Intel,8280,192,2048,2.7,10,493,1418,328,
,M192is v2,Intel,8280,192,2048,2.7,0,328,1418,328,
,M192ims v2,Intel,8280,192,4096,2.7,100,1418,1418,328,"core 168, mem 576"
,M192ims v2,Intel,8280,192,4096,2.7,90,1258,1418,328,
,M192ims v2,Intel,8280,192,4096,2.7,80,1086,1418,328,
,M192ims v2,Intel,8280,192,4096,2.7,70,960,1418,328,
,M192ims v2,Intel,8280,192,4096,2.7,60,849,1418,328,
,M192ims v2,Intel,8280,192,4096,2.7,50,753,1418,328,
,M192ims v2,Intel,8280,192,4096,2.7,40,681,1418,328,
,M192ims v2,Intel,8280,192,4096,2.7,30,620,1418,328,
,M192ims v2,Intel,8280,192,4096,2.7,20,558,1418,328,
,M192ims v2,Intel,8280,192,4096,2.7,10,493,1418,328,
,M192ims v2,Intel,8280,192,4096,2.7,0,328,1418,328,
,M208s v2,Intel,8280,208,2850,2.7,100,1864,1864, 361,"core 224, mem 768"
,M208s v2,Intel,8280,208,2850,2.7,90,1667,1864, 361,
,M208s v2,Intel,8280,208,2850,2.7,80,1411,1864, 361,
,M208s v2,Intel,8280,208,2850,2.7,70,1237,1864, 361,
,M208s v2,Intel,8280,208,2850,2.7,60,1084,1864, 361,
,M208s v2,Intel,8280,208,2850,2.7,50,954,1864, 361,
,M208s v2,Intel,8280,208,2850,2.7,40,857,1864, 361,
,M208s v2,Intel,8280,208,2850,2.7,30,773,1864, 361,
,M208s v2,Intel,8280,208,2850,2.7,20,692,1864, 361,
,M208s v2,Intel,8280,208,2850,2.7,10,603,1864, 361,
,M208s v2,Intel,8280,208,2850,2.7,0,361,1864, 361,
,M416s v2,Intel,8280,416,5700,2.7,100,3472,3472, 535,"core 392, mem 1344"
,M416s v2,Intel,8280,416,5700,2.7,90,3145,3472, 535,
,M416s v2,Intel,8280,416,5700,2.7,80,2751,3472, 535,
,M416s v2,Intel,8280,416,5700,2.7,70,2341,3472, 535,
,M416s v2,Intel,8280,416,5700,2.7,60,2058,3472, 535,
,M416s v2,Intel,8280,416,5700,2.7,50,1808,3472, 535,
,M416s v2,Intel,8280,416,5700,2.7,40,1579,3472, 535,
,M416s v2,Intel,8280,416,5700,2.7,30,1364,3472, 535,
,M416s v2,Intel,8280,416,5700,2.7,20,1167,3472, 535,
,M416s v2,Intel,8280,416,5700,2.7,10,990,3472, 535,
,M416s v2,Intel,8280,416,5700,2.7,0,535,3472, 535,
,M416ms v2,Intel,8280,416,11400,2.7,100,3472,3472, 535,"core 392, mem 1344"
,M416ms v2,Intel,8280,416,11400,2.7,90,3145,3472, 535,
,M416ms v2,Intel,8280,416,11400,2.7,80,2751,3472, 535,
,M416ms v2,Intel,8280,416,11400,2.7,70,2341,3472, 535,
,M416ms v2,Intel,8280,416,11400,2.7,60,2058,3472, 535,
,M416ms v2,Intel,8280,416,11400,2.7,50,1808,3472, 535,
,M416ms v2,Intel,8280,416,11400,2.7,40,1579,3472, 535,
,M416ms v2,Intel,8280,416,11400,2.7,30,1364,3472, 535,
,M416ms v2,Intel,8280,416,11400,2.7,20,1167,3472, 535,
